Question,,,,,,,,1,2,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5
session_ID,Email,First Name,Last Name,Start Time,End Time,Duration,IP Address,What is your gender?,What is your age?,Where were you born?,,,,,,,,,,,,,,
9856540,,897045412,,2012-12-12 12:17:40,2012-12-12 12:19:14,00:01:34,128.243.253.101,Female,36-45,Italy,4,4,4,3,1,5,1,2,1,3,4,5,4,1
9856567,,914223943,,2012-12-12 23:38:20,2012-12-13 00:34:54,00:56:34,87.114.6.15,Female,46-55,Germany,1,1,3,5,1,5,5,1,1,1,1,5,1,5
9856544,,94426851,,2012-12-12 13:25:10,2012-12-12 13:27:00,00:01:50,93.167.195.211,Male,36-45,Other European Country,1,2,3,5,1,5,1,1,1,1,4,5,1,1
9856583,,1260792,,2012-12-13 11:37:09,2012-12-13 11:40:08,00:02:59,195.65.225.142,Female,21-35,Other European Country,1,1,1,5,5,5,1,1,1,1,5,1,5,5
9856584,,437181964,,2012-12-13 12:03:06,2012-12-13 12:04:24,00:01:18,128.232.156.239,Male,21-35,United Kingdom,1,3,3,5,2,5,1,1,1,3,5,4,2,1
9856585,,612210504,,2012-12-13 12:11:40,2012-12-13 12:15:16,00:03:36,89.204.187.95,Female,46-55,Other European Country,3,3,3,5,1,5,1,1,1,1,1,4,5,4
9856596,,163538174,,2012-12-13 14:27:29,2012-12-13 14:32:45,00:05:16,82.216.167.96,Male,46-55,France,2,3,2,4,3,4,3,1,1,5,2,4,4,5
9856602,,81553373,,2012-12-13 17:17:55,2012-12-13 17:20:50,00:02:55,74.143.247.59,Male,46-55,United States,2,3,3,4,5,5,3,1,1,1,3,4,4,5
9856637,,23946817,,2012-12-14 11:40:44,2012-12-14 11:42:13,00:01:29,194.60.106.9,Male,36-45,Latin America,2,1,3,4,2,5,1,1,1,4,4,5,5,3
9856660,,,,2012-12-14 18:19:10,,,109.145.43.25,Female,20 or younger,United Kingdom,4,5,5,5,3,5,2,1,2,5,4,4,5,2
9856667,,410574394,,2012-12-15 08:00:31,2012-12-15 08:04:57,00:04:26,117.196.65.108,Male,20 or younger,Other,2,3,1,5,3,4,4,1,1,1,3,2,4,1
9856676,,,,2012-12-15 17:31:07,2012-12-15 17:32:46,00:01:39,117.194.196.171,Female,21-35,Asia,3,1,5,2,5,1,1,1,1,1,1,1,1,1
9856652,,680978224,,2012-12-14 16:36:21,2012-12-14 16:38:44,00:02:23,84.198.107.249,Male,36-45,Other European Country,1,1,2,4,3,4,5,1,1,1,3,3,2,1
9856653,,690748688,,2012-12-14 16:39:19,,,188.52.49.50,Male,20 or younger,Other,3,4,3,3,4,4,2,1,1,1,1,1,1,1
9856654,,821645267,,2012-12-14 16:33:31,2012-12-14 16:41:16,00:07:45,190.178.204.232,Male,20 or younger,Latin America,4,1,3,3,4,4,4,2,1,3,2,4,4,4
9856655,,906835514,,2012-12-14 16:41:03,,,86.22.65.182,Female,46-55,United Kingdom,2,1,1,2,1,4,1,1,1,1,1,5,5,5
9856656,,991938898,,2012-12-14 16:50:49,2012-12-14 16:51:41,00:00:52,140.104.81.14,Female,20 or younger,United States,5,4,4,5,2,5,2,1,1,3,5,5,5,2
9856659,,640737511,,2012-12-14 17:16:32,2012-12-14 17:53:05,00:36:33,184.187.186.92,Male,36-45,Germany,3,2,1,4,2,5,3,1,1,1,5,5,2,1
9856661,,178949101,,2012-12-14 19:11:16,2012-12-14 19:14:06,00:02:50,190.78.1.166,Male,21-35,Latin America,2,2,2,5,1,5,2,3,1,2,3,5,4,2
9856664,,861083789,,2012-12-14 22:02:24,2012-12-14 22:04:27,00:02:03,108.4.131.83,Male,36-45,United States,5,5,2,5,5,5,1,5,4,3,4,5,5,1
9856665,,906835514,,2012-12-14 23:52:43,,,86.161.225.1,Female,46-55,United Kingdom,1,1,3,3,1,3,1,1,1,2,2,3,2,1
9856666,,576281973,,2012-12-15 00:49:29,2012-12-15 00:52:09,00:02:40,119.93.32.154,Male,46-55,Asia,5,1,1,1,5,1,1,1,1,1,1,1,1,1
9856673,,252862199,,2012-12-15 13:26:22,2012-12-15 13:28:04,00:01:42,86.77.40.79,Male,21-35,France,5,4,2,3,2,3,2,1,2,1,4,5,3,1
9856726,,96701151,,2012-12-17 15:43:22,2012-12-17 15:44:43,00:01:21,66.27.127.136,Male,46-55,United States,3,3,3,5,1,5,1,5,1,3,4,5,2,1
9856753,,694931354, ,2012-12-18 09:59:43,2012-12-18 10:02:36,00:02:53,12.24.41.131,Male,21-35,United Kingdom,3,3,2,4,3,5,5,2,1,1,5,5,3,1
9856758,,,,2012-12-18 14:43:48,2012-12-18 14:46:01,00:02:13,69.119.250.105,Male,36-45,United States,4,3,4,5,3,5,5,3,3,4,5,4,4,5
9856759,,8299373001,,2012-12-18 14:49:30,,,72.136.253.192,Female,20 or younger,Other North American Country,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9856760,,,,2012-12-18 15:03:17,,,81.152.55.240,Male,36-45,United Kingdom,4,5,4,4,2,4,3,4,1,3,2,4,4,3
9856761,,,,2012-12-18 15:05:37,2012-12-18 15:10:12,00:04:35,68.12.228.141,Female,56-65,Germany,3,1,3,4,2,4,4,1,1,1,4,2,3,3
9856762,,45573351,,2012-12-18 15:07:30,2012-12-18 15:10:15,00:02:45,70.60.34.10,Male,21-35,United States,1,3,1,3,3,5,1,4,3,2,5,5,5,1
9856765,,902665513,,2012-12-18 15:30:18,2012-12-18 15:32:52,00:02:34,209.250.173.5,Female,21-35,Other North American Country,4,4,3,5,2,4,3,1,1,1,1,4,2,1
9856766,,,,2012-12-18 15:54:44,2012-12-18 15:59:36,00:04:52,2.121.28.211,Female,21-35,United Kingdom,2,1,1,4,4,4,1,1,1,3,2,5,3,1
9856768,,,,2012-12-18 16:09:36,2012-12-18 16:12:57,00:03:21,178.111.129.65,Female,21-35,United Kingdom,2,3,4,4,4,5,4,1,1,2,3,4,4,4
9856769,,,,2012-12-18 16:28:42,2012-12-18 16:30:09,00:01:27,71.51.102.48,Female,21-35,United States,4,2,5,5,5,4,3,1,1,1,4,5,3,1
9856757,,228264126,,2012-12-18 14:00:34,2012-12-18 14:02:24,00:01:50,31.53.51.191,Male,36-45,United Kingdom,1,3,4,5,1,5,1,1,1,2,3,5,3,5
9856763,,331866212,,2012-12-18 15:20:10,2012-12-18 15:22:35,00:02:25,2.139.254.143,Male,21-35,Spain,1,1,1,2,2,5,5,1,1,1,1,5,1,1
9856764,,31021592,,2012-12-18 15:25:36,,,70.56.36.104,Male,46-55,United States,5,4,3,4,5,4,5,5,4,3,4,4,4,5
9856767,,865988185,,2012-12-18 16:03:07,2012-12-18 16:05:33,00:02:26,92.27.236.55,Female,21-35,United Kingdom,5,3,1,5,2,4,5,5,1,1,4,3,2,1
9856772,,21164244,,2012-12-18 17:04:38,,,24.245.4.36,Female,21-35,United States,4,3,4,5,5,5,4,1,1,1,3,4,4,5
